Question,Answer
don't you ever wonder what it's like to be super-smart?,it must be very lonely.
it must be very lonely.,why's that?
why's that?,"because if you're super-smart, no one understands what you're saying."
i missed the tv news last night. what was on?,nothing that would pass as news.
nothing that would pass as news.,what's the weather going to be like this weekend?
what's the weather going to be like this weekend?,"i don't know. whenever the weather comes on, i switch channels."
"i don't know. whenever the weather comes on, i switch channels.",what was the lead story on the news?
what was the lead story on the news?,some actress was in court for driving without a license.
some actress was in court for driving without a license.,what was the second story?
what was the second story?,some actor married a woman young enough to be his daughter.
some actor married a woman young enough to be his daughter.,what was the third story?
what was the third story?,a bull chased a man in a supermarket.
a bull chased a man in a supermarket.,wasn't there anything about octo-mom?
wasn't there anything about octo-mom?,of course. she's going to hire a nanny for her eight infants.
what are you going to do about your death?,"well, mostly i'll try to avoid it."
"well, mostly i'll try to avoid it.","i mean, are you going to get buried or cremated?"
"i mean, are you going to get buried or cremated?",my wife and i will be cremated.
my wife and i will be cremated.,are you going to be buried next to each other?
are you going to be buried next to each other?,"oh, no. our ashes will be shaken into the ocean."
"oh, no. our ashes will be shaken into the ocean.",you're not going to be buried?
you're not going to be buried?,a coffin costs too much and takes up too much space.
a coffin costs too much and takes up too much space.,"yes, but it will be in a cemetery where your children can visit you."
"yes, but it will be in a cemetery where your children can visit you.",children seldom visit their parents in a cemetery.
children seldom visit their parents in a cemetery.,"that's true. a cemetery is for dead people, not living people."
"that's true. a cemetery is for dead people, not living people.",we figure our kids can visit us whenever they go to the beach.
did you wipe your feet? ,"yes, of course i wiped my feet."
"yes, of course i wiped my feet.",then why is there mud on the carpet?
then why is there mud on the carpet?,i don't know. it's not my mud.
i don't know. it's not my mud.,"well, someone brought it into the house."
"well, someone brought it into the house.",look at the bottom of my shoes¬óthey're clean.
look at the bottom of my shoes¬óthey're clean.,of course they're clean. you left all the mud on the carpet.
of course they're clean. you left all the mud on the carpet.,"okay, i'll get the vacuum cleaner."
"okay, i'll get the vacuum cleaner.",don't vacuum it now.
don't vacuum it now.,don't you want me to clean up the mud?
don't you want me to clean up the mud?,wait till it dries. it will be easier to vacuum.
wait till it dries. it will be easier to vacuum.,next time i will be more careful.
what are you getting for your mom?,what are you talking about?
what are you talking about?,sunday is mother's day.
sunday is mother's day.,this sunday?
this sunday?,of course. it's all over the news.
of course. it's all over the news.,i thought it was next sunday.
i thought it was next sunday.,"well, you'd better get her something."
"well, you'd better get her something.",i'll get her a nice card.
i'll get her a nice card.,is that it?
is that it?,yes. that's all i ever give her.
yes. that's all i ever give her.,"she raised you, and all you ever give her is a card?"
"she raised you, and all you ever give her is a card?",it's okay. she knows that i love her.
i don't like our flag.,what's the matter with it?
what's the matter with it?,it's too much like other flags.
it's too much like other flags.,"yes, a lot of flags have stripes."
"yes, a lot of flags have stripes.",a flag should be pretty.
a flag should be pretty.,what should our flag look like?
what should our flag look like?,it should have a pretty woman on it.
it should have a pretty woman on it.,that's ridiculous!
that's ridiculous!,you don't like pretty women?
you don't like pretty women?,of course i do. but not on our flag!
of course i do. but not on our flag!,every nation should have a pretty woman on their flag.
every nation should have a pretty woman on their flag.,you can't go to war carrying a flag with a woman on it!
i had a busy morning.,what did you do?
what did you do?,i watered all the plants.
i watered all the plants.,you have a lot of plants.
you have a lot of plants.,then i did my laundry.
then i did my laundry.,that takes some time.
that takes some time.,i took the dog for a walk.
i took the dog for a walk.,i'll bet he enjoyed his walk.
i'll bet he enjoyed his walk.,i vacuumed the entire house.
i vacuumed the entire house.,that's a lot of work.
that's a lot of work.,and then i made lunch.
and then i made lunch.,i'll bet you were hungry!
i don't have long distance service with my home phone.,so how do you make long distance calls?
so how do you make long distance calls?,i use a calling card.
i use a calling card.,where do you get that?
where do you get that?,i buy it at the dollar store.
i buy it at the dollar store.,how much is it?
how much is it?,it's one dollar for 100 minutes.
it's one dollar for 100 minutes.,that's only a penny a minute!
